Partlist

Exported from ZombieDelay.sch at 7/5/25 10:40 AM

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value          Device           Package       Library         Sheet

3MM      LED3MM         LED3MM           LED3MM        mb_diodes       1
C1       10uF           0501             050_020_1     mb_caps-electro 1
C2       10uF           0501             050_020_1     mb_caps-electro 1
C3       100uF          0801             080_035_1     mb_caps-electro 1
C4       100uF          0801             080_035_1     mb_caps-electro 1
C5       100uF          0801             080_035_1     mb_caps-electro 1
C6       47nF           072X0352         072X035       mb_caps-box     1
C7       15nF           072X0252         072X025       mb_caps-box     1
C9       470pF          050X030_0251     050X030_025   mb_caps-ceramic 1
C11      1uF            072X0452         072X045       mb_caps-box     1
C12      0.1uF          072X0352         072X035       mb_caps-box     1
C13      0.47uF         072X0352         072X035       mb_caps-box     1
C14      1uF            072X0452         072X045       mb_caps-box     1
C15      100pF          050X030_0251     050X030_025   mb_caps-ceramic 1
C16      47uF           0631             063_025       mb_caps-electro 1
C17      1uF            072X0452         072X045       mb_caps-box     1
C18      1uF            072X0452         072X045       mb_caps-box     1
C19      0.1uF          072X0352         072X035       mb_caps-box     1
C20      0.1uF          072X0352         072X035       mb_caps-box     1
C21      0.1uF          072X0352         072X035       mb_caps-box     1
C22      0.1uF          072X0352         072X035       mb_caps-box     1
C23      10nF           072X0252         072X025       mb_caps-box     1
C24      2n2            072X0252         072X025       mb_caps-box     1
C25      1nF            072X0252         072X025       mb_caps-box     1
C26      10nF           072X0252         072X025       mb_caps-box     1
C27      1uF            072X0452         072X045       mb_caps-box     1
C28      1uF            072X0452         072X045       mb_caps-box     1
C30      2n2            072X0252         072X025       mb_caps-box     1
C31      1uF            072X0452         072X045       mb_caps-box     1
C32      0.47uF         072X0352         072X035       mb_caps-box     1
C33      100pF          050X030_0251     050X030_025   mb_caps-ceramic 1
C34      33nF           072X0252         072X025       mb_caps-box     1
C35      1nF            072X0252         072X025       mb_caps-box     1
C36      1uF            072X0452         072X045       mb_caps-box     1
C37      1uF            072X0452         072X045       mb_caps-box     1
C38      15nF           072X0252         072X025       mb_caps-box     1
C39      47pF           050X030_0251     050X030_025   mb_caps-ceramic 1
C41      1uF            072X0452         072X045       mb_caps-box     1
D1       1N4148         1N4148-3         DO35-3        mb_diodes       1
D2       1N4148         1N4148-3         DO35-3        mb_diodes       1
D3       1N4148         1N4148-3         DO35-3        mb_diodes       1
DELAY    B50K           POT16MM_PCB_PADS 16MM_PCB_PADS mb_pots         1
IC1      MAX1044        MAX1044          DIL08         mb_ics          1
IC2      TL072P         TL072P           DIL08         mb_ics          1
IC3      7805T          7805T            TO220H        mb_regulators   1
IC4      7812T          7812T            TO220H        mb_regulators   1
LEVEL    B50K           POT16MM_PCB_PADS 16MM_PCB_PADS mb_pots         1
PT2399                  DIL16            DIL16         mb_ics          1
Q1       2N5089         2N5089           TO92-         mb_trans        1
R1       1M             6MM.3            R0207/3       mb_resistors    1
R2       1K             6MM.3            R0207/3       mb_resistors    1
R3       10k            6MM.3            R0207/3       mb_resistors    1
R4       1M             6MM.3            R0207/3       mb_resistors    1
R5       1M             6MM.3            R0207/3       mb_resistors    1
R6       36k            6MM.3            R0207/3       mb_resistors    1
R7       36k            6MM.3            R0207/3       mb_resistors    1
R8       22k            6MM.3            R0207/3       mb_resistors    1
R9       1k             6MM.3            R0207/3       mb_resistors    1
R10      22k            6MM.3            R0207/3       mb_resistors    1
R11      10k            6MM.3            R0207/3       mb_resistors    1
R12      22k            6MM.3            R0207/3       mb_resistors    1
R13      22k            6MM.3            R0207/3       mb_resistors    1
R14      10k            6MM.3            R0207/3       mb_resistors    1
R15      22k            6MM.3            R0207/3       mb_resistors    1
R16      10k            6MM.3            R0207/3       mb_resistors    1
R17      10k            6MM.3            R0207/3       mb_resistors    1
R18      100k           6MM.3            R0207/3       mb_resistors    1
R19      10k            6MM.3            R0207/3       mb_resistors    1
R20      10k            6MM.3            R0207/3       mb_resistors    1
R21      10k            6MM.3            R0207/3       mb_resistors    1
R22      1k             6MM.3            R0207/3       mb_resistors    1
R23      10k            6MM.3            R0207/3       mb_resistors    1
R24      10k            6MM.3            R0207/3       mb_resistors    1
R25      10k            6MM.3            R0207/3       mb_resistors    1
R26      1k             6MM.3            R0207/3       mb_resistors    1
R27      1M             6MM.3            R0207/3       mb_resistors    1
R28      4k7            6MM.3            R0207/3       mb_resistors    1
REPEATS  B50K           POT16MM_PCB_PADS 16MM_PCB_PADS mb_pots         1
U$1      BOARDLINK      BOARDLINK        BOARDLINK     xc_library      1
U$2      SA571          SA571            DIL16         xc_library      1
